"Ordeal of Erebos", 5, 4
"Setessan Griffin", 7, 4
"Nimbus Naiad", 11, 11
"Shipbreaker Kraken", 6, 2
"Bident of Thassa", 2, 1
"Purphoros, God of the Forge", 1, 2
"Ordeal of Thassa", 5, 5
"Tormented Hero", 0, 2
"Shipwreck Singer", 10, 5
"Gray Merchant of Asphodel", 28, 17
"Feral Invocation", 14, 10
"Agent of Horizons", 6, 5
"Asphodel Wanderer", 0, 1
"Silent Artisan", 2, 2
"Battlewise Valor", 10, 8
"Commune with the Gods", 3, 2
"Vaporkin", 5, 7
"Nighthowler", 0, 1
"Labyrinth Champion", 1, 1
"Hero's Downfall", 8, 1
"Cavalry Pegasus", 3, 0
"Akroan Crusader", 4, 5
"Minotaur Skullcleaver", 7, 10
"Vanquish the Foul", 2, 2
"Xenagos, the Reveler", 2, 1
"Medomai the Ageless", 4, 1
"Fate Foretold", 6, 6
"Crackling Triton", 0, 2
"Firedrinker Satyr", 0, 1
"Island", 150, 122
"Kragma Warcaller", 1, 2
"Horizon Chimera", 0, 1
"Heliod's Emissary", 9, 5
"Destructive Revelry", 2, 2
"Pheres-Band Centaurs", 0, 1
"Chosen by Heliod", 18, 15
"Divine Verdict", 17, 9
"Scholar of Athreos", 7, 3
"Traveling Philosopher", 6, 7
"Anax and Cymede", 0, 1
"Insatiable Harpy", 12, 10
"Lagonna-Band Elder", 11, 9
"Sedge Scorpion", 5, 7
"Psychic Intrusion", 1, 3
"Felhide Minotaur", 15, 9
"Reaper of the Wilds", 7, 2
"Bow of Nylea", 0, 1
"Sylvan Caryatid", 6, 3
"Burnished Hart", 6, 3
"Yoked Ox", 1, 2
"Karametra's Acolyte", 8, 5
"Magma Jet", 7, 7
"Savage Surge", 15, 11
"Nemesis of Mortals", 3, 1
"Curse of the Swine", 2, 2
"Plains", 196, 135
"Triad of Fates", 2, 1
"Cutthroat Maneuver", 0, 1
"Breaching Hippocamp", 4, 3
"Artisan's Sorrow", 1, 2
"Favored Hoplite", 10, 8
"Returned Centaur", 6, 5
"Fleshmad Steed", 6, 6
"Evangel of Heliod", 11, 7
"Rageblood Shaman", 4, 2
"Voyage's End", 12, 11
"Gods Willing", 14, 9
"Coastline Chimera", 4, 4
"Anvilwrought Raptor", 3, 4
"Pharika's Cure", 13, 13
"Centaur Battlemaster", 3, 3
"Lash of the Whip", 29, 13
"Voyaging Satyr", 31, 18
"Whip of Erebos", 4, 5
"Spearpoint Oread", 10, 11
"Silent Arbiter", 2, 3
"Temple of Mystery", 3, 1
"Dragon Mantle", 7, 12
"Hythonia the Cruel", 4, 1
"Benthic Giant", 2, 3
"Dauntless Onslaught", 3, 3
"Thassa's Emissary", 9, 9
"Akroan Hoplite", 2, 3
"Hopeful Eidolon", 23, 13
"Aqueous Form", 3, 7
"Deathbellow Raider", 5, 4
"Fade into Antiquity", 2, 1
"Spear of Heliod", 2, 3
"Ember Swallower", 5, 2
"Chronicler of Heroes", 6, 5
"Ordeal of Nylea", 11, 9
"Stormbreath Dragon", 3, 0
"Omenspeaker", 11, 9
"Master of Waves", 1, 1
"Fleecemane Lion", 2, 2
"Sea God's Revenge", 5, 5
"Opaline Unicorn", 11, 9
"Nykthos, Shrine to Nyx", 1, 1
"Sealock Monster", 4, 5
"Nylea's Disciple", 14, 13
"Leafcrown Dryad", 21, 15
"Mountain", 101, 112
"Stoneshock Giant", 6, 6
"Thassa's Bounty", 4, 2
"Leonin Snarecaster", 4, 3
"Sentry of the Underworld", 9, 4
"Two-Headed Cerberus", 10, 13
"Cavern Lampad", 15, 12
"Nylea, God of the Hunt", 5, 2
"Forest", 222, 165
"Setessan Battle Priest", 5, 4
"Chained to the Rocks", 0, 1
"Portent of Betrayal", 3, 5
"Colossus of Akros", 3, 0
"Arena Athlete", 2, 4
"Nessian Courser", 18, 13
"Satyr Rambler", 11, 12
"Wingsteed Rider", 20, 10
"Elspeth, Sun's Champion", 2, 3
"Arbor Colossus", 5, 3
"Thassa, God of the Sea", 3, 3
"Soldier of the Pantheon", 2, 1
"Anthousa, Setessan Hero", 4, 3
"Thoughtseize", 5, 3
"Temple of Silence", 1, 1
"Sip of Hemlock", 35, 15
"Fabled Hero", 1, 1
"Titan's Strength", 5, 7
"Daxos of Meletis", 1, 1
"Heliod, God of the Sun", 3, 2
"Flamespeaker Adept", 0, 1
"Underworld Cerberus", 1, 2
"Returned Phalanx", 20, 11
"Scourgemark", 23, 17
"Read the Bones", 21, 10
"Mogis's Marauder", 3, 4
"Fanatic of Mogis", 3, 4
"Battlewise Hoplite", 4, 4
"Time to Feed", 22, 17
"Erebos's Emissary", 16, 7
"Ray of Dissolution", 3, 2
"Ordeal of Purphoros", 2, 2
"Temple of Deceit", 2, 3
"Nylea's Emissary", 5, 4
"Anger of the Gods", 2, 3
"Boon Satyr", 2, 2
"Observant Alseid", 24, 17
"Purphoros's Emissary", 4, 5
"Ashiok, Nightmare Weaver", 1, 1
"Nylea's Presence", 7, 3
"Keepsake Gorgon", 16, 7
"Rescue from the Underworld", 6, 4
"Blood-Toll Harpy", 19, 14
"Boon of Erebos", 10, 9
"Lightning Strike", 17, 16
"Meletis Charlatan", 2, 1
"Celestial Archon", 1, 1
"Prescient Chimera", 6, 6
"Polis Crusher", 0, 1
"Triton Fortune Hunter", 9, 9
"Satyr Hedonist", 1, 3
"Prophet of Kruphix", 3, 2
"Triton Tactics", 3, 2
"Vulpine Goliath", 22, 12
"Satyr Piper", 0, 1
"Tymaret, the Murder King", 3, 1
"Warriors' Lesson", 6, 5
"Mnemonic Wall", 0, 1
"Borderland Minotaur", 2, 1
"Horizon Scholar", 2, 3
"Wavecrash Triton", 11, 10
"Ordeal of Heliod", 2, 2
"Agent of the Fates", 6, 2
"Last Breath", 2, 1
"Nessian Asp", 15, 13
"Baleful Eidolon", 29, 10
"Traveler's Amulet", 5, 5
"Swamp", 304, 200
"Unknown Shores", 7, 3
"Mistcutter Hydra", 4, 2
"Phalanx Leader", 3, 2
"Coordinated Assault", 6, 1
"Dissolve", 0, 1
"Hundred-Handed One", 4, 3
"Reverent Hunter", 1, 1
"Staunch-Hearted Warrior", 17, 13
"Pharika's Mender", 7, 6
"Rage of Purphoros", 4, 4
"Ill-Tempered Cyclops", 8, 9
"Disciple of Phenax", 33, 22
"Griptide", 17, 11
"Abhorrent Overlord", 11, 8
